Teabag ID,Initial weight (g),Final weight (g),Tea,notes,,
1-DT,1.9831,1.0903,green,replaced tag,,
1-DT,2.1428,1.8545,roobois,,,
1-FD,1.8544,1.1232,green,,,
1-FD,2.1306,1.6679,roobois,,,
1-IR,2.0365,1.2035,green,,,
1-IR,2.1113,1.8052,roobois,,,
1-R,1.7518,0.8581,green,,,
1-R,2.1122,1.9621,roobois,,,
10-DT,1.8076,1.1001,green,,,
10-DT,2.1671,1.5754,roobois,,,
10-FD,2.0217,1.1565,green,,,
10-FD,2.1002,1.7891,roobois,,,
10-IR,1.8832,1.1649,green,,,
10-IR,2.1429,,roobois,,,
10-R,1.7818,1.0802,green,,,
10-R,2.1241,1.7514,roobois,replaced tag,,
11-DT,1.8902,0.9454,green,ripped,,
11-DT,2.2036,1.846,roobois,replaced tag,,
11-FD,1.8523,1.0726,green,,,
11-FD,2.1152,1.7714,roobois,,,
11-IR,2.0453,1.2015,green,,,
11-IR,2.1333,1.9029,roobois,,,
11-R,1.9116,1.0431,green,,,
11-R,2.1901,1.9045,roobois,,,
12-DT,2.066,1.1401,green,,,
12-DT,2.178,1.9544,roobois,,,
12-FD,1.948,1.1008,green,,,
12-FD,2.116,1.522,roobois,,,
12-IR,1.8602,1.1489,green,,,
12-IR,2.1742,1.6521,roobois,,,
12-R,1.9536,1.0084,green,roots,ripped,
12-R,2.0485,1.8116,roobois,replaced tag,,
13-DT,1.9659,0.9735,green,ripped,,
13-DT,2.0756,1.5697,roobois,,,
13-FD,2.0566,,green,,,
13-FD,2.1356,1.425,roobois,roots ,ripped,
13-IR,1.8571,,green,,,
13-IR,2.1333,,roobois,,,
13-R,1.8528,1.0635,green,replaced tag,,
13-R,2.1665,,roobois,,,
14-DT,1.9417,1.0751,green,,,
14-DT,2.1028,1.8772,roobois,,,
14-FD,1.9069,1.0698,green,,,
14-FD,2.0763,1.7579,roobois,,,
14-IR,1.9274,1.077,green,,,
14-IR,2.1105,1.7744,roobois,,,
14-R,1.9302,1.1033,green,,,
14-R,2.0922,1.8651,roobois,,,
15-DT,1.9702,1.1147,green,,,
15-DT,2.1227,1.7793,roobois,,,
15-FD,1.8463,0.914,green,ripped,,
15-FD,2.1135,1.4017,roobois,ripped,,
15-IR,1.8089,0.9517,green,,,
15-IR,2.0794,1.6674,roobois,replaced tag,,
15-R,1.7859,1.0179,green,,,
15-R,2.1478,1.7501,roobois,,,
16-DT,2.0396,1.0144,green,,,
16-DT,2.1652,,roobois,,,
16-FD,1.8041,0.903,green,replaced tag,,
16-FD,2.1537,,roobois,ripped,,
16-IR,1.9069,1.3085,green,,,
16-IR,2.1549,1.8035,roobois,,,
16-R,1.8865,1.0253,green,,,
16-R,2.2031,1.717,roobois,ripped,,
17-DT,1.9247,,green,,,
17-DT,2.168,,roobois,,,
17-FD,1.9078,1.0295,green,ripped,replaced tag,
17-FD,2.2502,1.8342,roobois,,,
17-IR,1.9576,1.0456,green,,,
17-IR,2.145,NA,roobois,ripped ,,
17-R,1.8619,1.0335,green,replaced tag,0.7171,big rip
17-R,2.1495,1.8429,roobois,labelled twice,1.7941,add to 17DT?
18-DT,1.8566,1.0129,green,replaced tag,,
18-DT,2.1559,1.7709,roobois,,,
18-FD,1.9086,1.005,green,,,
18-FD,2.1333,1.7989,roobois,replaced tag,,
18-IR,1.9394,1.1122,green,,,
18-IR,2.1453,1.8139,roobois,,,
18-R,1.9044,1.0225,green,,,
18-R,2.1688,1.842,roobois,,,
19-DT,1.9531,1.0556,green,roots,,
19-DT,2.1877,1.7738,roobois,,,
19-FD,1.9384,1.0975,green,replaced tag,,
19-FD,2.1645,,roobois,,,
19-IR,1.975,1.0445,green,replaced tag,,
19-IR,2.1495,1.7852,roobois,,,
19-R,1.9112,1.0541,green,,,
19-R,2.1275,1.7389,roobois,,,
2-DT,1.9456,0.9464,green,,,
2-DT,2.0818,1.1394,roobois,ripped,,
2-FD,2.1085,0.8539,green,ripped,,
2-FD,2.063,1.4639,roobois,,,
2-IR,1.8395,0.9938,green,,,
2-IR,2.1544,1.5961,roobois,ripped,,
2-R,1.9118,1.0799,green,,,
2-R,2.0677,1.78,roobois,,,
20-DT,1.8563,1.0048,green,,,
20-DT,2.1283,1.7596,roobois,ripped,replaced tag,
20-FD,1.7938,1.1327,green,ripped,,
20-FD,2.1502,1.7095,roobois,,,
20-IR,2.0157,1.0574,green,,,
20-IR,2.1448,1.9103,roobois,,,
20-R,1.8147,1.0429,green,,,
20-R,2.1746,1.9332,roobois,replaced tag,,
21-DT,2.0277,1.0707,green,"21FD labelled twice, assume one bag is this based on slightly lower initial weights",,
21-DT,2.1011,1.6553,roobois,,,
21-FD,2.0222,1.0904,green,labelled twice,1.0707,
21-FD,2.121,1.7237,roobois,labelled twice,1.6553,replaced tag
21-IR,1.9902,1.065,green,replaced tag,,
21-IR,2.2249,1.7969,roobois,,,
21-R,1.9487,1.1466,green,,,
21-R,2.1632,1.8334,roobois,,,
22-DT,2.0414,1.1346,green,,,
22-DT,2.1688,1.8797,roobois,,,
22-FD,1.9897,,green,,,
22-FD,2.1169,1.8549,roobois,,,
22-IR,1.9153,1.0944,green,replaced tag,,
22-IR,2.1054,1.8105,roobois,,,
22-R,1.8964,1.0084,green,,,
22-R,2.1298,1.7942,roobois,replaced tag,,
23-DT,1.9667,1.1585,green,,,
23-DT,2.0979,1.3053,roobois,,,
23-FD,1.9075,0.9727,green,,,
23-FD,2.1147,1.6566,roobois,,,
23-IR,1.7964,1.026,green,,,
23-IR,2.1268,1.4907,roobois,,,
23-R,1.9433,0.9617,green,,,
23-R,2.2292,1.5483,roobois,,,
24-DT,2.009,1.5445,green,,,
24-DT,2.1354,1.8665,roobois,,,
24-FD,1.9122,1.0199,green,replaced tag,,
24-FD,2.2246,1.9685,roobois,,,
24-IR,1.9555,1.0455,green,,,
24-IR,2.1303,1.7064,roobois,,,
24-R,2.0469,1.0825,green,,,
24-R,2.1771,1.8445,roobois,,,
25-DT,2.0259,,green,labelled twice,1.235,repleced tag
25-DT,2.1567,1.8159,roobois,replaced tag,1.4812,
25-FD,1.9646,,green,,,
25-FD,2.1683,,roobois,,,
25-IR,1.9593,1.1462,green,,,
25-IR,2.1629,1.7046,roobois,,,
25-R,2.0645,1.1592,green,roots,,
25-R,2.224,1.7053,roobois,roots,,
26-DT,2.0642,1.0226,green,ripped,,
26-DT,2.1188,1.8073,roobois,replaced tag,,
26-FD,1.9666,1.0428,green,,,
26-FD,2.1806,1.916,roobois,,,
26-IR,1.9305,1.1211,green,,,
26-IR,2.1608,1.7835,roobois,,,
26-R,2.0607,1.0732,green,replaced tag,,
26-R,2.1389,1.8032,roobois,,,
27-DT,1.8207,1.0534,green,,,
27-DT,2.1151,,roobois,,,
27-FD,1.9305,1.1068,green,,,
27-FD,2.1199,1.5708,roobois,,,
