WAL,SampleID,plot,comm,drt,BurialDate,RetrievalDate,Anion,Cation,Notes,TotalN,NO3,NH4,Ca,Mg,K,P,Fe,Mn,Cu,Zn,B,S,Pb,Al,Cd
203879,20DT,20,DT,drt,2021-07-08,2021-09-10,4,4,,38.62,34.62,4.00,1375.11,113.24,109.28,1.30,1.54,1.26,0.34,0.56,0.69,14.27,0.18,13.43,0
203880,20FD,20,FD,drt,2021-07-08,2021-09-10,4,4,,55.56,49.68,5.88,1259.61,126.94,114.74,0.84,1.51,2.42,0.83,0.50,0.50,16.57,0.17,11.05,0
203881,20IR,20,IR,drt,2021-07-08,2021-09-10,4,4,,39.46,34.22,5.24,1350.84,124.91,129.18,0.92,1.15,1.57,0.52,0.43,0.24,27.22,0.20,10.24,0
203882,20RA,20,RA,drt,2021-07-08,2021-09-10,4,4,,102.72,98.46,4.26,1004.37,94.76,119.65,1.13,2.37,6.36,1.15,0.78,0.09,17.40,0.29,8.97,0
203883,22DT,22,DT,drt,2021-07-08,2021-09-10,4,4,,76.00,70.40,5.60,1428.09,130.58,112.51,0.84,2.33,3.33,0.62,0.60,0.30,15.53,0.25,9.56,0
203884,22FD,22,FD,drt,2021-07-08,2021-09-10,4,4,,83.56,81.36,2.20,1269.32,104.17,103.96,0.75,1.72,2.82,0.46,0.47,0.36,15.68,0.35,10.30,0.01
203885,22IR,22,IR,drt,2021-07-08,2021-09-10,4,4,,26.84,21.14,5.70,1483.47,139.41,101.26,0.55,1.30,1.21,0.28,0.25,0.52,13.84,0.18,13.25,0
203886,22RA,22,RA,drt,2021-07-08,2021-09-10,4,4,,42.86,40.94,1.92,1264.31,106.36,88.52,1.22,1.15,0.99,0.17,0.29,0.41,13.24,0.11,12.37,0
203887,27DT,27,DT,amb,2021-07-08,2021-09-10,4,4,,203.36,200.96,2.40,3087.73,199.97,78.53,8.55,3.72,3.31,0.93,0.58,0.79,35.52,0.73,15.84,0
203888,27FD,27,FD,amb,2021-07-08,2021-09-10,4,4,,332.62,331.00,1.62,2937.98,187.54,96.23,8.54,8.36,13.72,1.68,0.98,0.41,88.90,1.38,14.89,0
