Site,Year,Species,Environment,Species Name,Latitude,Longitude,Elevation (m),Rep,Sample Date,Life History,Functional Group,Trait,Data,MetaTrait,Notes,Lab,Notes_PlantHeight_FloweringStageAtTimeOfSampling,Notes_Pfiber_ADF-LigninAmtUsed_grams,Notes_Pfiber_aNDFAmtUsed_grams,Notes_Pfiber_MineralAmtUsed_grams,Notes_LeafToughness_midrib_hit,Notes_RootMorphology_extraction,Notes_RootMorphology_WinRHIZO
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,1,05/21/2015,Annual,Graminoid,Leaf N (%),2.5,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,1,05/21/2015,Annual,Graminoid,Leaf C (%),38.6,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,1,05/21/2015,Annual,Graminoid,Leaf C:N ratio,15.1,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,2,05/21/2015,Annual,Graminoid,Leaf N (%),1.3,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,2,05/21/2015,Annual,Graminoid,Leaf C (%),38.3,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,2,05/21/2015,Annual,Graminoid,Leaf C:N ratio,29.3,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,3,05/21/2015,Annual,Graminoid,Leaf N (%),4.2,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,3,05/21/2015,Annual,Graminoid,Leaf C (%),40.2,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,3,05/21/2015,Annual,Graminoid,Leaf C:N ratio,9.6,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,4,05/21/2015,Annual,Graminoid,Leaf N (%),2,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,4,05/21/2015,Annual,Graminoid,Leaf C (%),40,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,4,05/21/2015,Annual,Graminoid,Leaf C:N ratio,19.8,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,5,05/21/2015,Annual,Graminoid,Leaf N (%),2.4,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,5,05/21/2015,Annual,Graminoid,Leaf C (%),40.3,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,5,05/21/2015,Annual,Graminoid,Leaf C:N ratio,16.8,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,6,05/21/2015,Annual,Graminoid,Leaf N (%),2.4,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,6,05/21/2015,Annual,Graminoid,Leaf C (%),37.1,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,6,05/21/2015,Annual,Graminoid,Leaf C:N ratio,15.6,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,7,05/21/2015,Annual,Graminoid,Leaf N (%),2.3,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,7,05/21/2015,Annual,Graminoid,Leaf C (%),38.7,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,7,05/21/2015,Annual,Graminoid,Leaf C:N ratio,16.7,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,8,05/21/2015,Annual,Graminoid,Leaf N (%),2.3,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,8,05/21/2015,Annual,Graminoid,Leaf C (%),41.9,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,8,05/21/2015,Annual,Graminoid,Leaf C:N ratio,18.1,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,9,05/21/2015,Annual,Graminoid,Leaf N (%),2.1,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,9,05/21/2015,Annual,Graminoid,Leaf C (%),40,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,9,05/21/2015,Annual,Graminoid,Leaf C:N ratio,18.6,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,10,05/21/2015,Annual,Graminoid,Leaf N (%),2.7,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,10,05/21/2015,Annual,Graminoid,Leaf C (%),41.5,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2015,BRTE,Shortgrass,Bromus tectorum,40.833333,-104.71667,1650,10,05/21/2015,Annual,Graminoid,Leaf C:N ratio,15.2,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,1,06/04/2014,Perennial,Graminoid,Leaf N (%),2.18,Leaf chemistry (C-N-13C-15N),D13C: Mild outlier (high),SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,1,06/04/2014,Perennial,Graminoid,Leaf C (%),41.77,Leaf chemistry (C-N-13C-15N),D13C: Mild outlier (high),SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,1,06/04/2014,Perennial,Graminoid,Leaf C:N ratio,19.12,Leaf chemistry (C-N-13C-15N),D13C: Mild outlier (high),SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,2,06/04/2014,Perennial,Graminoid,Leaf N (%),1.86,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,2,06/04/2014,Perennial,Graminoid,Leaf C (%),41.4,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,2,06/04/2014,Perennial,Graminoid,Leaf C:N ratio,22.25,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,3,06/04/2014,Perennial,Graminoid,Leaf N (%),1.89,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,3,06/04/2014,Perennial,Graminoid,Leaf C (%),41.16,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,3,06/04/2014,Perennial,Graminoid,Leaf C:N ratio,21.77,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,4,06/04/2014,Perennial,Graminoid,Leaf N (%),1.62,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,4,06/04/2014,Perennial,Graminoid,Leaf C (%),39.49,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,4,06/04/2014,Perennial,Graminoid,Leaf C:N ratio,24.37,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,5,06/04/2014,Perennial,Graminoid,Leaf N (%),1.84,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,5,06/04/2014,Perennial,Graminoid,Leaf C (%),40.51,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,5,06/04/2014,Perennial,Graminoid,Leaf C:N ratio,22.05,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,6,06/04/2014,Perennial,Graminoid,Leaf N (%),1.82,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,6,06/04/2014,Perennial,Graminoid,Leaf C (%),41.47,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,6,06/04/2014,Perennial,Graminoid,Leaf C:N ratio,22.81,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,7,06/04/2014,Perennial,Graminoid,Leaf N (%),1.73,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,7,06/04/2014,Perennial,Graminoid,Leaf C (%),41.91,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,7,06/04/2014,Perennial,Graminoid,Leaf C:N ratio,24.26,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,8,06/04/2014,Perennial,Graminoid,Leaf N (%),1.52,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,8,06/04/2014,Perennial,Graminoid,Leaf C (%),42.02,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,8,06/04/2014,Perennial,Graminoid,Leaf C:N ratio,27.6,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,9,06/04/2014,Perennial,Graminoid,Leaf N (%),1.32,Leaf chemistry (C-N-13C-15N),C:N ratio: Outlier (high),SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,9,06/04/2014,Perennial,Graminoid,Leaf C (%),42.49,Leaf chemistry (C-N-13C-15N),C:N ratio: Outlier (high),SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,9,06/04/2014,Perennial,Graminoid,Leaf C:N ratio,32.16,Leaf chemistry (C-N-13C-15N),C:N ratio: Outlier (high),SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,10,06/04/2014,Perennial,Graminoid,Leaf N (%),1.75,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,10,06/04/2014,Perennial,Graminoid,Leaf C (%),42.85,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CAEL,Shortgrass,Carex duriuscula,40.833333,-104.71667,1650,10,06/04/2014,Perennial,Graminoid,Leaf C:N ratio,24.44,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
CPER,2014,CHLE,Shortgrass,Chenopodium leptophyllum,40.833333,-104.71667,1650,1,06/24/2014,Annual,Forb,Leaf N (%),2.07,Leaf chemistry (C-N-13C-15N),,SIRFER,,,,,,,
